"areaName","type","source","n_proxy","Day","Cases"
"Barnsley","Lower","Estimate",NA,2020-04-15,458
"Barnsley","Upper","Estimate",NA,2020-04-15,497
"Barnsley","Lower","Estimate",NA,2020-04-16,470
"Barnsley","Upper","Estimate",NA,2020-04-16,511
"Barnsley","Lower","Estimate",NA,2020-04-17,482
"Barnsley","Upper","Estimate",NA,2020-04-17,526
"Barnsley","Lower","Estimate",NA,2020-04-18,494
"Barnsley","Upper","Estimate",NA,2020-04-18,540
"Barnsley","Lower","Estimate",NA,2020-04-19,506
"Barnsley","Upper","Estimate",NA,2020-04-19,555
"Barnsley","Lower","Estimate",NA,2020-04-20,518
"Barnsley","Upper","Estimate",NA,2020-04-20,569
"Barnsley","Lower","Estimate",NA,2020-04-21,530
"Barnsley","Upper","Estimate",NA,2020-04-21,583
"Barnsley","Lower","Estimate",NA,2020-04-22,541
"Barnsley","Upper","Estimate",NA,2020-04-22,598
"Barnsley","Lower","Estimate",NA,2020-04-23,553
"Barnsley","Upper","Estimate",NA,2020-04-23,612
"Barnsley","Lower","Estimate",NA,2020-04-24,565
"Barnsley","Upper","Estimate",NA,2020-04-24,627
"Barnsley","Lower","Estimate",NA,2020-04-25,577
"Barnsley","Upper","Estimate",NA,2020-04-25,641
"Barnsley","Lower","Estimate",NA,2020-04-26,589
"Barnsley","Upper","Estimate",NA,2020-04-26,656
"Barnsley","Lower","Estimate",NA,2020-04-27,601
"Barnsley","Upper","Estimate",NA,2020-04-27,670
"Barnsley","Lower","Estimate",NA,2020-04-28,612
"Barnsley","Upper","Estimate",NA,2020-04-28,685
"Barnsley","Lower","Estimate",NA,2020-04-29,624
"Barnsley","Upper","Estimate",NA,2020-04-29,699
"Barnsley","Lower","Estimate",NA,2020-04-30,636
"Barnsley","Upper","Estimate",NA,2020-04-30,714
"Barnsley","Lower","Estimate",NA,2020-05-01,648
"Barnsley","Upper","Estimate",NA,2020-05-01,728
"Bradford","Lower","Estimate",NA,2020-04-15,534
"Bradford","Upper","Estimate",NA,2020-04-15,575
"Bradford","Lower","Estimate",NA,2020-04-16,552
"Bradford","Upper","Estimate",NA,2020-04-16,597
"Bradford","Lower","Estimate",NA,2020-04-17,570
"Bradford","Upper","Estimate",NA,2020-04-17,619
"Bradford","Lower","Estimate",NA,2020-04-18,588
"Bradford","Upper","Estimate",NA,2020-04-18,641
"Bradford","Lower","Estimate",NA,2020-04-19,606
"Bradford","Upper","Estimate",NA,2020-04-19,663
"Bradford","Lower","Estimate",NA,2020-04-20,624
"Bradford","Upper","Estimate",NA,2020-04-20,686
"Bradford","Lower","Estimate",NA,2020-04-21,643
"Bradford","Upper","Estimate",NA,2020-04-21,708
"Bradford","Lower","Estimate",NA,2020-04-22,661
"Bradford","Upper","Estimate",NA,2020-04-22,730
"Bradford","Lower","Estimate",NA,2020-04-23,679
"Bradford","Upper","Estimate",NA,2020-04-23,752
"Bradford","Lower","Estimate",NA,2020-04-24,697
"Bradford","Upper","Estimate",NA,2020-04-24,774
"Bradford","Lower","Estimate",NA,2020-04-25,715
"Bradford","Upper","Estimate",NA,2020-04-25,797
"Bradford","Lower","Estimate",NA,2020-04-26,733
"Bradford","Upper","Estimate",NA,2020-04-26,819
"Bradford","Lower","Estimate",NA,2020-04-27,751
"Bradford","Upper","Estimate",NA,2020-04-27,841
"Bradford","Lower","Estimate",NA,2020-04-28,770
"Bradford","Upper","Estimate",NA,2020-04-28,863
"Bradford","Lower","Estimate",NA,2020-04-29,788
"Bradford","Upper","Estimate",NA,2020-04-29,885
"Bradford","Lower","Estimate",NA,2020-04-30,806
"Bradford","Upper","Estimate",NA,2020-04-30,907
"Bradford","Lower","Estimate",NA,2020-05-01,824
"Bradford","Upper","Estimate",NA,2020-05-01,930
"Calderdale","Upper","Proxy",6,2020-04-15,222
"Calderdale","Lower","Proxy",6,2020-04-15,126
"Calderdale","Upper","Proxy",6,2020-04-16,224
"Calderdale","Lower","Proxy",6,2020-04-16,140
"Calderdale","Upper","Proxy",6,2020-04-17,227
"Calderdale","Lower","Proxy",6,2020-04-17,152
"Calderdale","Upper","Proxy",6,2020-04-18,232
"Calderdale","Lower","Proxy",6,2020-04-18,178
"Calderdale","Upper","Proxy",6,2020-04-19,240
"Calderdale","Lower","Proxy",6,2020-04-19,180
"Calderdale","Upper","Proxy",6,2020-04-20,243
"Calderdale","Lower","Proxy",6,2020-04-20,182
"Calderdale","Upper","Proxy",6,2020-04-21,243
"Calderdale","Lower","Proxy",6,2020-04-21,190
"Calderdale","Upper","Proxy",6,2020-04-22,262
"Calderdale","Lower","Proxy",6,2020-04-22,192
"Calderdale","Upper","Proxy",6,2020-04-23,266
"Calderdale","Lower","Proxy",6,2020-04-23,201
"Calderdale","Upper","Proxy",6,2020-04-24,278
"Calderdale","Lower","Proxy",6,2020-04-24,206
"Calderdale","Upper","Proxy",6,2020-04-25,304
"Calderdale","Lower","Proxy",6,2020-04-25,208
"Calderdale","Upper","Proxy",6,2020-04-26,313
"Calderdale","Lower","Proxy",6,2020-04-26,218
"Calderdale","Upper","Proxy",6,2020-04-27,316
"Calderdale","Lower","Proxy",6,2020-04-27,221
"Calderdale","Upper","Proxy",6,2020-04-28,318
"Calderdale","Lower","Proxy",6,2020-04-28,225
"Calderdale","Upper","Proxy",6,2020-04-29,326
"Calderdale","Lower","Proxy",6,2020-04-29,226
"Calderdale","Upper","Proxy",6,2020-04-30,326
"Calderdale","Lower","Proxy",6,2020-04-30,228
"Calderdale","Upper","Proxy",6,2020-05-01,357
"Calderdale","Lower","Proxy",6,2020-05-01,235
"County Durham","Lower","Estimate",NA,2020-04-15,878
"County Durham","Upper","Estimate",NA,2020-04-15,940
"County Durham","Lower","Estimate",NA,2020-04-16,915
"County Durham","Upper","Estimate",NA,2020-04-16,985
"County Durham","Lower","Estimate",NA,2020-04-17,951
"County Durham","Upper","Estimate",NA,2020-04-17,1029
"County Durham","Lower","Estimate",NA,2020-04-18,988
"County Durham","Upper","Estimate",NA,2020-04-18,1074
"County Durham","Lower","Estimate",NA,2020-04-19,1024
"County Durham","Upper","Estimate",NA,2020-04-19,1119
"County Durham","Lower","Estimate",NA,2020-04-20,1061
"County Durham","Upper","Estimate",NA,2020-04-20,1164
"County Durham","Lower","Estimate",NA,2020-04-21,1098
"County Durham","Upper","Estimate",NA,2020-04-21,1208
"County Durham","Lower","Estimate",NA,2020-04-22,1134
"County Durham","Upper","Estimate",NA,2020-04-22,1253
"County Durham","Lower","Estimate",NA,2020-04-23,1171
"County Durham","Upper","Estimate",NA,2020-04-23,1298
"County Durham","Lower","Estimate",NA,2020-04-24,1207
"County Durham","Upper","Estimate",NA,2020-04-24,1343
"County Durham","Lower","Estimate",NA,2020-04-25,1244
"County Durham","Upper","Estimate",NA,2020-04-25,1387
"County Durham","Lower","Estimate",NA,2020-04-26,1281
"County Durham","Upper","Estimate",NA,2020-04-26,1432
"County Durham","Lower","Estimate",NA,2020-04-27,1317
"County Durham","Upper","Estimate",NA,2020-04-27,1477
"County Durham","Lower","Estimate",NA,2020-04-28,1354
"County Durham","Upper","Estimate",NA,2020-04-28,1521
"County Durham","Lower","Estimate",NA,2020-04-29,1390
"County Durham","Upper","Estimate",NA,2020-04-29,1566
"County Durham","Lower","Estimate",NA,2020-04-30,1427
"County Durham","Upper","Estimate",NA,2020-04-30,1611
"County Durham","Lower","Estimate",NA,2020-05-01,1464
"County Durham","Upper","Estimate",NA,2020-05-01,1656
"Darlington","Upper","Proxy",7,2020-04-15,222
"Darlington","Lower","Proxy",7,2020-04-15,132
"Darlington","Upper","Proxy",7,2020-04-16,224
"Darlington","Lower","Proxy",7,2020-04-16,140
"Darlington","Upper","Proxy",7,2020-04-17,227
"Darlington","Lower","Proxy",7,2020-04-17,152
"Darlington","Upper","Proxy",7,2020-04-18,232
"Darlington","Lower","Proxy",7,2020-04-18,180
"Darlington","Upper","Proxy",7,2020-04-19,240
"Darlington","Lower","Proxy",7,2020-04-19,184
"Darlington","Upper","Proxy",7,2020-04-20,246
"Darlington","Lower","Proxy",7,2020-04-20,186
"Darlington","Upper","Proxy",7,2020-04-21,266
"Darlington","Lower","Proxy",7,2020-04-21,203
"Darlington","Upper","Proxy",7,2020-04-22,268
"Darlington","Lower","Proxy",7,2020-04-22,218
"Darlington","Upper","Proxy",7,2020-04-23,284
"Darlington","Lower","Proxy",7,2020-04-23,232
"Darlington","Upper","Proxy",7,2020-04-24,299
"Darlington","Lower","Proxy",7,2020-04-24,236
"Darlington","Upper","Proxy",7,2020-04-25,316
"Darlington","Lower","Proxy",7,2020-04-25,237
"Darlington","Upper","Proxy",7,2020-04-26,334
"Darlington","Lower","Proxy",7,2020-04-26,249
"Darlington","Upper","Proxy",7,2020-04-27,358
"Darlington","Lower","Proxy",7,2020-04-27,253
"Darlington","Upper","Proxy",7,2020-04-28,379
"Darlington","Lower","Proxy",7,2020-04-28,254
"Darlington","Upper","Proxy",7,2020-04-29,403
"Darlington","Lower","Proxy",7,2020-04-29,254
"Darlington","Upper","Proxy",7,2020-04-30,417
"Darlington","Lower","Proxy",7,2020-04-30,259
"Darlington","Upper","Proxy",7,2020-05-01,428
"Darlington","Lower","Proxy",7,2020-05-01,266
"Doncaster","Lower","Estimate",NA,2020-04-15,288
"Doncaster","Upper","Estimate",NA,2020-04-15,309
"Doncaster","Lower","Estimate",NA,2020-04-16,301
"Doncaster","Upper","Estimate",NA,2020-04-16,324
"Doncaster","Lower","Estimate",NA,2020-04-17,314
"Doncaster","Upper","Estimate",NA,2020-04-17,340
"Doncaster","Lower","Estimate",NA,2020-04-18,327
"Doncaster","Upper","Estimate",NA,2020-04-18,356
"Doncaster","Lower","Estimate",NA,2020-04-19,340
"Doncaster","Upper","Estimate",NA,2020-04-19,372
"Doncaster","Lower","Estimate",NA,2020-04-20,353
"Doncaster","Upper","Estimate",NA,2020-04-20,388
"Doncaster","Lower","Estimate",NA,2020-04-21,367
"Doncaster","Upper","Estimate",NA,2020-04-21,404
"Doncaster","Lower","Estimate",NA,2020-04-22,380
"Doncaster","Upper","Estimate",NA,2020-04-22,420
"Doncaster","Lower","Estimate",NA,2020-04-23,393
"Doncaster","Upper","Estimate",NA,2020-04-23,436
"Doncaster","Lower","Estimate",NA,2020-04-24,406
"Doncaster","Upper","Estimate",NA,2020-04-24,452
"Doncaster","Lower","Estimate",NA,2020-04-25,419
"Doncaster","Upper","Estimate",NA,2020-04-25,468
"Doncaster","Lower","Estimate",NA,2020-04-26,432
"Doncaster","Upper","Estimate",NA,2020-04-26,484
"Doncaster","Lower","Estimate",NA,2020-04-27,445
"Doncaster","Upper","Estimate",NA,2020-04-27,500
"Doncaster","Lower","Estimate",NA,2020-04-28,458
"Doncaster","Upper","Estimate",NA,2020-04-28,516
"Doncaster","Lower","Estimate",NA,2020-04-29,471
"Doncaster","Upper","Estimate",NA,2020-04-29,532
"Doncaster","Lower","Estimate",NA,2020-04-30,484
"Doncaster","Upper","Estimate",NA,2020-04-30,548
"Doncaster","Lower","Estimate",NA,2020-05-01,497
"Doncaster","Upper","Estimate",NA,2020-05-01,564
"East Riding of Yorkshire","Lower","Estimate",NA,2020-04-15,321
"East Riding of Yorkshire","Upper","Estimate",NA,2020-04-15,341
"East Riding of Yorkshire","Lower","Estimate",NA,2020-04-16,339
"East Riding of Yorkshire","Upper","Estimate",NA,2020-04-16,363
"East Riding of Yorkshire","Lower","Estimate",NA,2020-04-17,356
"East Riding of Yorkshire","Upper","Estimate",NA,2020-04-17,384
"East Riding of Yorkshire","Lower","Estimate",NA,2020-04-18,373
"East Riding of Yorkshire","Upper","Estimate",NA,2020-04-18,405
"East Riding of Yorkshire","Lower","Estimate",NA,2020-04-19,391
"East Riding of Yorkshire","Upper","Estimate",NA,2020-04-19,427
"East Riding of Yorkshire","Lower","Estimate",NA,2020-04-20,408
"East Riding of Yorkshire","Upper","Estimate",NA,2020-04-20,448
"East Riding of Yorkshire","Lower","Estimate",NA,2020-04-21,426
"East Riding of Yorkshire","Upper","Estimate",NA,2020-04-21,469
"East Riding of Yorkshire","Lower","Estimate",NA,2020-04-22,443
"East Riding of Yorkshire","Upper","Estimate",NA,2020-04-22,490
"East Riding of Yorkshire","Lower","Estimate",NA,2020-04-23,460
"East Riding of Yorkshire","Upper","Estimate",NA,2020-04-23,512
"East Riding of Yorkshire","Lower","Estimate",NA,2020-04-24,478
"East Riding of Yorkshire","Upper","Estimate",NA,2020-04-24,533
"East Riding of Yorkshire","Lower","Estimate",NA,2020-04-25,495
"East Riding of Yorkshire","Upper","Estimate",NA,2020-04-25,554
"East Riding of Yorkshire","Lower","Estimate",NA,2020-04-26,513
"East Riding of Yorkshire","Upper","Estimate",NA,2020-04-26,575
"East Riding of Yorkshire","Lower","Estimate",NA,2020-04-27,530
"East Riding of Yorkshire","Upper","Estimate",NA,2020-04-27,597
"East Riding of Yorkshire","Lower","Estimate",NA,2020-04-28,547
"East Riding of Yorkshire","Upper","Estimate",NA,2020-04-28,618
"East Riding of Yorkshire","Lower","Estimate",NA,2020-04-29,565
"East Riding of Yorkshire","Upper","Estimate",NA,2020-04-29,639
"East Riding of Yorkshire","Lower","Estimate",NA,2020-04-30,582
"East Riding of Yorkshire","Upper","Estimate",NA,2020-04-30,660
"East Riding of Yorkshire","Lower","Estimate",NA,2020-05-01,600
"East Riding of Yorkshire","Upper","Estimate",NA,2020-05-01,682
"Gateshead","Upper","Proxy",7,2020-04-15,628
"Gateshead","Lower","Proxy",7,2020-04-15,493
"Gateshead","Upper","Proxy",7,2020-04-16,655
"Gateshead","Lower","Proxy",7,2020-04-16,506
"Gateshead","Upper","Proxy",7,2020-04-17,700
"Gateshead","Lower","Proxy",7,2020-04-17,533
"Gateshead","Upper","Proxy",7,2020-04-18,741
"Gateshead","Lower","Proxy",7,2020-04-18,561
"Gateshead","Upper","Proxy",7,2020-04-19,762
"Gateshead","Lower","Proxy",7,2020-04-19,598
"Gateshead","Upper","Proxy",7,2020-04-20,790
"Gateshead","Lower","Proxy",7,2020-04-20,614
"Gateshead","Upper","Proxy",7,2020-04-21,807
"Gateshead","Lower","Proxy",7,2020-04-21,639
"Gateshead","Upper","Proxy",7,2020-04-22,835
"Gateshead","Lower","Proxy",7,2020-04-22,664
"Gateshead","Upper","Proxy",7,2020-04-23,861
"Gateshead","Lower","Proxy",7,2020-04-23,714
"Gateshead","Upper","Proxy",7,2020-04-24,870
"Gateshead","Lower","Proxy",7,2020-04-24,732
"Gateshead","Upper","Proxy",7,2020-04-25,886
"Gateshead","Lower","Proxy",7,2020-04-25,776
"Gateshead","Upper","Proxy",7,2020-04-26,913
"Gateshead","Lower","Proxy",7,2020-04-26,789
"Gateshead","Upper","Proxy",7,2020-04-27,921
"Gateshead","Lower","Proxy",7,2020-04-27,801
"Gateshead","Upper","Proxy",7,2020-04-28,962
"Gateshead","Lower","Proxy",7,2020-04-28,827
"Gateshead","Upper","Proxy",7,2020-04-29,989
"Gateshead","Lower","Proxy",7,2020-04-29,837
"Gateshead","Upper","Proxy",7,2020-04-30,1013
"Gateshead","Lower","Proxy",7,2020-04-30,846
"Gateshead","Upper","Proxy",7,2020-05-01,1029
"Gateshead","Lower","Proxy",7,2020-05-01,871
"Hartlepool","Upper","Proxy",5,2020-04-15,139
"Hartlepool","Lower","Proxy",5,2020-04-15,104
"Hartlepool","Upper","Proxy",5,2020-04-16,140
"Hartlepool","Lower","Proxy",5,2020-04-16,114
"Hartlepool","Upper","Proxy",5,2020-04-17,146
"Hartlepool","Lower","Proxy",5,2020-04-17,118
"Hartlepool","Upper","Proxy",5,2020-04-18,150
"Hartlepool","Lower","Proxy",5,2020-04-18,124
"Hartlepool","Upper","Proxy",5,2020-04-19,154
"Hartlepool","Lower","Proxy",5,2020-04-19,125
"Hartlepool","Upper","Proxy",5,2020-04-20,166
"Hartlepool","Lower","Proxy",5,2020-04-20,136
"Hartlepool","Upper","Proxy",5,2020-04-21,166
"Hartlepool","Lower","Proxy",5,2020-04-21,143
"Hartlepool","Upper","Proxy",5,2020-04-22,166
"Hartlepool","Lower","Proxy",5,2020-04-22,144
"Hartlepool","Upper","Proxy",5,2020-04-23,169
"Hartlepool","Lower","Proxy",5,2020-04-23,145
"Hartlepool","Upper","Proxy",5,2020-04-24,176
"Hartlepool","Lower","Proxy",5,2020-04-24,146
"Hartlepool","Upper","Proxy",5,2020-04-25,185
"Hartlepool","Lower","Proxy",5,2020-04-25,147
"Hartlepool","Upper","Proxy",5,2020-04-26,187
"Hartlepool","Lower","Proxy",5,2020-04-26,151
"Hartlepool","Upper","Proxy",5,2020-04-27,191
"Hartlepool","Lower","Proxy",5,2020-04-27,153
"Hartlepool","Upper","Proxy",5,2020-04-28,197
"Hartlepool","Lower","Proxy",5,2020-04-28,155
"Hartlepool","Upper","Proxy",5,2020-04-29,201
"Hartlepool","Lower","Proxy",5,2020-04-29,155
"Hartlepool","Upper","Proxy",5,2020-04-30,207
"Hartlepool","Lower","Proxy",5,2020-04-30,155
"Hartlepool","Upper","Proxy",5,2020-05-01,208
"Hartlepool","Lower","Proxy",5,2020-05-01,167
"Kingston upon Hull, City of","Upper","Proxy",14,2020-04-15,332
"Kingston upon Hull, City of","Lower","Proxy",14,2020-04-15,221
"Kingston upon Hull, City of","Upper","Proxy",14,2020-04-16,343
"Kingston upon Hull, City of","Lower","Proxy",14,2020-04-16,238
"Kingston upon Hull, City of","Upper","Proxy",14,2020-04-17,357
"Kingston upon Hull, City of","Lower","Proxy",14,2020-04-17,255
"Kingston upon Hull, City of","Upper","Proxy",14,2020-04-18,361
